"name","street","street2","city","state_id","zip","country_id","phone","mobile","email","website","lang","salesperson","pricelist","supplier currency","account receivable","account payable","tax id","company_id","company_type"
"Công ty TNHH Nguyễn Chiêu Thành","số 284, xóm 9","thôn Ðịnh Minh, xã An Nhơn Tây, huyện Củ Chi","Hồ Chí Minh","VN-SG","700000","84","02343674191","0995383489","hotro@nguyenchieuthanh.vn","nguyenchieuthanh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0396315287","UIT.IS336.L12.4","company"
"Công ty TNHH Trần Ðạt","số 242, xóm 6","thôn 2, xã Thanh Cao, huyện Thanh Oai","Hà Nội","VN-HN","100000","84","02444513544","0933204136","hotro@tranðat.vn","tranðat.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0165671751","UIT.IS336.L12.4","company"
"Công ty TNHH Huỳnh Uyển","số 338, đường Vĩnh Tân","phường Thới An, quận Quận 12","Hồ Chí Minh","VN-SG","700000","84","02553590430","0976170079","hotro@huynhuyen.vn","huynhuyen.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0334535820","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Đan","số 410, xóm Nghĩa Chính","thôn 9, xã Nhơn Đức, huyện Nhà Bè","Hồ Chí Minh","VN-SG","700000","84","0210777980626","0896684595","hotro@nguyendan.vn","nguyendan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0371811671","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Đông Lệ","số 142, xóm 1","thôn 7, xã Trung Mầu, huyện Gia Lâm","Hà Nội","VN-HN","100000","84","02445008239","0948092421","hotro@nguyendongle.vn","nguyendongle.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0170647863","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Ðình Trường Hương","số 503, đường Duy Văn","phường Giảng Võ, quận Ba Đình","Hà Nội","VN-HN","100000","84","02466805162","0894907724","hotro@nguyenðinhtruonghuong.vn","nguyenðinhtruonghuong.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0197129769","UIT.IS336.L12.4","company"
"Công ty TNHH Trần Khánh Mỹ","số 405, đường Huỳnh Quyên Thịnh","phường Tân Thới Hiệp, quận Quận 12","Hồ Chí Minh","VN-SG","700000","84","02367321814","0920529040","hotro@trankhanhmy.vn","trankhanhmy.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0388139434","UIT.IS336.L12.4","company"
"Công ty TNHH Đỗ Hồ","số 95, đường Sỹ Tài","phường Quan Hoa, quận Cầu Giấy","Hà Nội","VN-HN","100000","84","0247162134","0998701283","hotro@doho.vn","doho.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0174325952","UIT.IS336.L12.4","company"
"Công ty TNHH Trần Ðông","số 869, đường Phương Nghi","phường 9, quận Quận 8","Hồ Chí Minh","VN-SG","700000","84","02357329428","0945515739","hotro@tranðong.vn","tranðong.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0322907831","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Chế","số 762, hẻm 56","đường Hạ Dương, phường Phú Trung, quận Tân Phú","Hồ Chí Minh","VN-SG","700000","84","025644533562","0963233309","hotro@nguyenche.vn","nguyenche.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0356104726","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Ðôn Thái","số 107, đường Nguyễn Mạnh Xuân","phường Hiệp Bình Phước, quận Thủ Đức","Hồ Chí Minh","VN-SG","700000","84","02227171838","0951312378","hotro@nguyenðonthai.vn","nguyenðonthai.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0344909848","UIT.IS336.L12.4","company"
"Công ty TNHH Phan Ân","số 856, đường Thành Yên","phường 9, quận Quận 5","Hồ Chí Minh","VN-SG","700000","84","02767142147","0993018123","hotro@phanan.vn","phanan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0362426684","UIT.IS336.L12.4","company"
"Công ty TNHH Huỳnh Cảnh","số 520, đường Mỹ Hào","phường 14, quận Quận 11","Hồ Chí Minh","VN-SG","700000","84","021054080544","0894877088","hotro@huynhcanh.vn","huynhcanh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0310085514","UIT.IS336.L12.4","company"
"Công ty TNHH Võ Hạ Hiền Sương","số 802, đường Dương Thanh","phường Thường Thạnh, quận Cái Răng","Cần Thơ","VN-CT","900000","84","0292777970344","0980834149","hotro@vohahiensuong.vn","vohahiensuong.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","1816642870","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Gia","số 64, đường Kiệt Chấn","phường Thạnh Lộc, quận Quận 12","Hồ Chí Minh","VN-SG","700000","84","0258777969990","0883535193","hotro@nguyengia.vn","nguyengia.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0314959752","UIT.IS336.L12.4","company"
"Công ty TNHH Trần Khải","số 800, hẻm Lương Hạo","đường Trần Thuận Vân, phường 15, quận Quận 4","Hồ Chí Minh","VN-SG","700000","84","0297777937006","0901094312","hotro@trankhai.vn","trankhai.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0314095166","UIT.IS336.L12.4","company"
"Công ty TNHH Lâm Uyển Vương Bình","số 229, đường Trần Huệ Thủy","phường Lạc Viên, quận Ngô Quyền","Hải Phòng","VN-HP","180000","84","0225777996788","0970131906","hotro@lamuyenvuongbinh.vn","lamuyenvuongbinh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0265576587","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Gia","số 214, xóm 3","thôn 6, xã Dũng Tiến, huyện Thường Tín","Hà Nội","VN-HN","100000","84","02462555076","0992642047","hotro@nguyengia.vn","nguyengia.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0128791645","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Vương Ðiền Nghĩa","số 238, xóm Oanh Đình","thôn 4, xã Đức Hòa, huyện Sóc Sơn","Hà Nội","VN-HN","100000","84","02454181039","0864331652","hotro@nguyenvuongðiennghia.vn","nguyenvuongðiennghia.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0139404944","UIT.IS336.L12.4","company"
"Công ty TNHH Vũ Trâm Từ Anh","số 958, đường Phạm Nhiên Thuận","phường Tân Mai, quận Hoàng Mai","Hà Nội","VN-HN","100000","84","024777924968","0895405574","hotro@vutramtuanh.vn","vutramtuanh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0130828567","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Thơ Hảo Kim","số 966, xóm 2","thôn 6, xã Tân Kiên, huyện Bình Chánh","Hồ Chí Minh","VN-SG","700000","84","029345036186","0997960554","hotro@nguyenthohaokim.vn","nguyenthohaokim.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0346586666","UIT.IS336.L12.4","company"
"Công ty TNHH Phan Tú Ðình Chấn","số 489, xóm 3","thôn Dung Hưng, xã Tri Thủy, huyện Phú Xuyên","Hà Nội","VN-HN","100000","84","02454189195","0881420246","hotro@phantuðinhchan.vn","phantuðinhchan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0116821470","UIT.IS336.L12.4","company"
"Công ty TNHH Đỗ Việt Dao Diệp","số 397, xóm Huỳnh Ý","thôn 6, xã Quy Đức, huyện Bình Chánh","Hồ Chí Minh","VN-SG","700000","84","027744598833","0895064327","hotro@dovietdaodiep.vn","dovietdaodiep.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0377405050","UIT.IS336.L12.4","company"
"Công ty TNHH Đặng Lĩnh Văn","số 646, hẻm 66","đường Phạm Cơ Giang, phường Tân Tạo A, quận Bình Tân","Hồ Chí Minh","VN-SG","700000","84","02527151731","0994677909","hotro@danglinhvan.vn","danglinhvan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0325229330","UIT.IS336.L12.4","company"
"Công ty TNHH Ngô Hải Vịnh Viễn","số 755, hẻm 10","đường Nguyễn Lệ Lạc, phường Long Trường, quận Quận 9","Hồ Chí Minh","VN-SG","700000","84","020866465928","0990763329","hotro@ngohaivinhvien.vn","ngohaivinhvien.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0313547803","UIT.IS336.L12.4","company"
"Công ty TNHH Trần Thế Tiến","số 37, đường Ngụy Tuệ Khánh","thị trấn Hóc Môn, huyện Hóc Môn","Hồ Chí Minh","VN-SG","700000","84","026354374226","0975720699","hotro@tranthetien.vn","tranthetien.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0389287638","UIT.IS336.L12.4","company"
"Công ty TNHH Võ Tín Ngân","số 18, đường Nguyễn Khoa Viết","phường Tam Phú, quận Thủ Đức","Hồ Chí Minh","VN-SG","700000","84","02047374698","0989237066","hotro@votinngan.vn","votinngan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0374445615","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Lý Viên Nguyên","số 879, xóm 8","thôn 3, xã Kim Chung, huyện Đông Anh","Hà Nội","VN-HN","100000","84","02454474491","0997385228","hotro@nguyenlyviennguyen.vn","nguyenlyviennguyen.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0140664189","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Lệ Tiên Nhất","số 615, xóm 9","thôn 5, xã An Tiến, huyện Mỹ Đức","Hà Nội","VN-HN","100000","84","02466475415","0964180920","hotro@nguyenletiennhat.vn","nguyenletiennhat.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0159404724","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Lam","số 317, hẻm 89","đường Nguyễn Ðức Hiếu, phường Tân Quy, quận Quận 7","Hồ Chí Minh","VN-SG","700000","84","0291777914080","0995481723","hotro@nguyenlam.vn","nguyenlam.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0372668863","UIT.IS336.L12.4","company"
"Công ty TNHH Bùi Hào Minh Tuấn","số 871, đường Chuyên Ðại","phường Trung Sơn Trầm, thị xã Sơn Tây","Hà Nội","VN-HN","100000","84","02424793090","0863296966","hotro@buihaominhtuan.vn","buihaominhtuan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0174912822","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Hân Huyền Băng","số 214, xóm 2","thôn 4, xã Xuân Thới Sơn, huyện Hóc Môn","Hồ Chí Minh","VN-SG","700000","84","023245084274","0880935955","hotro@nguyenhanhuyenbang.vn","nguyenhanhuyenbang.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0352347404","UIT.IS336.L12.4","company"
"Công ty TNHH Tán Viết","số 973, đường Toàn Ðan","phường Phú La, quận Hà Đông","Hà Nội","VN-HN","100000","84","024777960934","0946919376","hotro@tanviet.vn","tanviet.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0138595933","UIT.IS336.L12.4","company"
"Công ty TNHH Cát Viễn","số 747, hẻm Trân Như","đường Hoàng Khoa Quảng, phường Đồng Quốc Bình, quận Ngô Quyền","Hải Phòng","VN-HP","180000","84","022544506666","0902430342","hotro@catvien.vn","catvien.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0238614381","UIT.IS336.L12.4","company"
"Công ty TNHH Trần Tiên Linh Trúc","số 333, đường Nguyễn Diễm Trà","phường Trương Định, quận Hai Bà Trưng","Hà Nội","VN-HN","100000","84","0247139754","0874938334","hotro@trantienlinhtruc.vn","trantienlinhtruc.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0160158898","UIT.IS336.L12.4","company"
"Công ty TNHH Phạm Lai Khúc","số 356, xóm 8","thôn Huyền Ngân, xã Đại Bản, huyện An Dương","Hải Phòng","VN-HP","180000","84","02253901733","0894497918","hotro@phamlaikhuc.vn","phamlaikhuc.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0211263927","UIT.IS336.L12.4","company"
"Công ty TNHH Dương Tuấn","số 335, xóm 5","thôn 6, xã Hòa Nam, huyện Ứng Hòa","Hà Nội","VN-HN","100000","84","0243631399","0888246801","hotro@duongtuan.vn","duongtuan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0167153354","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Tấn Cường Hoài","số 964, đường Nguyễn Bằng Dạ","phường Phan Bội Châu, quận Hồng Bàng","Hải Phòng","VN-HP","180000","84","022545093724","0884213835","hotro@nguyentancuonghoai.vn","nguyentancuonghoai.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0236533272","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Ðình Ngân","số 828, xóm 2","thôn 9, xã Ba Vì, huyện Ba Vì","Hà Nội","VN-HN","100000","84","0243874384","0999299907","hotro@nguyenðinhngan.vn","nguyenðinhngan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0116917523","UIT.IS336.L12.4","company"
"Công ty TNHH Vũ Ân Minh","số 147, đường Trần Hoa Thái","phường Hòa Hiệp Nam, quận Liên Chiểu","Đà Nẵng","VN-DN","550000","84","02367131473","0965477752","hotro@vuanminh.vn","vuanminh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0485993181","UIT.IS336.L12.4","company"
"Công ty TNHH Lê Huệ","số 112, xóm 10","thôn 5, xã Thạnh Lộc, huyện Vĩnh Thạnh","Cần Thơ","VN-CT","900000","84","02923533302","0975480190","hotro@lehue.vn","lehue.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","1872669518","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Thạch Cơ Chế","số 349, đường Ðài Huệ","phường Hòa Thuận Tây, quận Hải Châu","Đà Nẵng","VN-DN","550000","84","0236777996055","0869338489","hotro@nguyenthachcoche.vn","nguyenthachcoche.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0476107030","UIT.IS336.L12.4","company"
"Công ty TNHH Huỳnh Chuyên Mi Thuận","số 736, đường Trần Trâm Ly","phường Đa Kao, quận Quận 1","Hồ Chí Minh","VN-SG","700000","84","0220777907438","0860693553","hotro@huynhchuyenmithuan.vn","huynhchuyenmithuan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0368888382","UIT.IS336.L12.4","company"
"Công ty TNHH Huỳnh Ðường San Kiên","số 182, xóm 5","thôn Đức Hà, xã Xuân Thới Thượng, huyện Hóc Môn","Hồ Chí Minh","VN-SG","700000","84","02367346990","0912485304","hotro@huynhðuongsankien.vn","huynhðuongsankien.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0317656226","UIT.IS336.L12.4","company"
"Công ty TNHH Lê Trân Minh","số 412, xóm 3","thôn Hùng Khôi, xã Quảng Thanh, huyện Thủy Nguyên","Hải Phòng","VN-HP","180000","84","022554130486","0917642931","hotro@letranminh.vn","letranminh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0246436603","UIT.IS336.L12.4","company"
"Công ty TNHH Trần Hiền Kiết","số 941, xóm Thoa Tâm","thôn Thoa Khởi, xã Sen Phương, huyện Phúc Thọ","Hà Nội","VN-HN","100000","84","02454176511","0906499123","hotro@tranhienkiet.vn","tranhienkiet.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0175972285","UIT.IS336.L12.4","company"
"Công ty TNHH Lê Chính Diệu","số 327, xóm Bửu Giang","thôn 2, xã Vân Canh, huyện Hoài Đức","Hà Nội","VN-HN","100000","84","0247338419","0999520526","hotro@lechinhdieu.vn","lechinhdieu.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0147170745","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Ý","số 715, xóm 2","thôn 5, xã Đông Bình, huyện Thới Lai","Cần Thơ","VN-CT","900000","84","029245036173","0960484086","hotro@nguyeny.vn","nguyeny.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","1864156078","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Trà Hợp Uyển","số 309, đường Dương Thịnh Anh","phường Bình Khánh, quận Quận 2","Hồ Chí Minh","VN-SG","700000","84","02917379435","0942839860","hotro@nguyentrahopuyen.vn","nguyentrahopuyen.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0333219716","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Luân Đình","số 180, xóm Hường Danh","thôn Thúy Minh, xã Trung Hà, huyện Thủy Nguyên","Hải Phòng","VN-HP","180000","84","022554141255","0914812821","hotro@nguyenluandinh.vn","nguyenluandinh.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0293260223","UIT.IS336.L12.4","company"
"Công ty TNHH Phan Ly","số 181, xóm Phước Phụng","thôn 9, xã Phước Thạnh, huyện Củ Chi","Hồ Chí Minh","VN-SG","700000","84","023354004407","0967828751","hotro@phanly.vn","phanly.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0334465355","UIT.IS336.L12.4","company"
"Công ty TNHH Huỳnh Tùng","số 240, hẻm Quý Thiệu","đường Vũ Cung Ðan, phường 16, quận Quận 8","Hồ Chí Minh","VN-SG","700000","84","023554174824","0962293354","hotro@huynhtung.vn","huynhtung.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0328695365","UIT.IS336.L12.4","company"
"Công ty TNHH Hoàng Nhất Phước","số 273, đường Trần Nhàn Diễm","phường Thọ Quang, quận Sơn Trà","Đà Nẵng","VN-DN","550000","84","02363704832","0996514770","hotro@hoangnhatphuoc.vn","hoangnhatphuoc.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0429533265","UIT.IS336.L12.4","company"
"Công ty TNHH Phạm Ẩn Diệu Cường","số 796, hẻm 95","đường Võ Mạnh Thường, phường An Dương, quận Lê Chân","Hải Phòng","VN-HP","180000","84","02253790783","0894766224","hotro@phamandieucuong.vn","phamandieucuong.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0244700396","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Kim Lan","số 564, đường Nguyễn Ðạo Dũng","phường Linh Trung, quận Thủ Đức","Hồ Chí Minh","VN-SG","700000","84","02203766742","0905983480","hotro@nguyenkimlan.vn","nguyenkimlan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0330951513","UIT.IS336.L12.4","company"
"Công ty TNHH Võ Ẩn Hoa Hòa","số 668, hẻm 26","đường Nhung Trung, phường An Lạc, quận Bình Tân","Hồ Chí Minh","VN-SG","700000","84","02927322405","0960409293","hotro@voanhoahoa.vn","voanhoahoa.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0384625398","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Thụy An","số 720, đường Quyền Bội","phường Thạch Thang, quận Hải Châu","Đà Nẵng","VN-DN","550000","84","023662589752","0864686258","hotro@nguyenthuyan.vn","nguyenthuyan.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0460857977","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Mi Huấn Thụy","số 710, đường Nguyễn Lệ Tài","phường Đông Hải 1, quận Hải An","Hải Phòng","VN-HP","180000","84","022554156551","0889314810","hotro@nguyenmihuanthuy.vn","nguyenmihuanthuy.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0238740018","UIT.IS336.L12.4","company"
"Công ty TNHH Võ Ca Khắc","số 335, đường Hành Tố","phường 8, quận Quận 11","Hồ Chí Minh","VN-SG","700000","84","02607360683","0969500584","hotro@vocakhac.vn","vocakhac.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0343808316","UIT.IS336.L12.4","company"
"Công ty TNHH Đặng Tuyền Ðông Liên","số 840, đường Nguyễn Nhi Nghi","phường Tân Sơn Nhì, quận Tân Phú","Hồ Chí Minh","VN-SG","700000","84","02257140838","0935071343","hotro@dangtuyenðonglien.vn","dangtuyenðonglien.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0325918116","UIT.IS336.L12.4","company"
"Công ty TNHH Phan Chiêu Loan Tố","số 660, đường Bạch Phước","phường Khương Đình, quận Thanh Xuân","Hà Nội","VN-HN","100000","84","02463321017","0874976163","hotro@phanchieuloanto.vn","phanchieuloanto.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0190338594","UIT.IS336.L12.4","company"
"Công ty TNHH Trần Trà","số 417, đường Thông Bảo","phường Hàng Bột, quận Đống Đa","Hà Nội","VN-HN","100000","84","02454037390","0958182474","hotro@trantra.vn","trantra.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0127990551","UIT.IS336.L12.4","company"
"Công ty TNHH Nguyễn Liễu Khuê","số 382, xóm 7","thôn 1, xã Liên Bạt, huyện Ứng Hòa","Hà Nội","VN-HN","100000","84","0247188469","0939804448","hotro@nguyenlieukhue.vn","nguyenlieukhue.vn","Vietnamese / Tiếng Việt","Admin UIT.IS336.L12.4","Bảng giá niêm yết (VND)","VND","131 Khoản phải thu của khách hàng","331 Phải trả cho người bán","0149878901","UIT.IS336.L12.4","company"
